id,grip,action,max_beta_deg_above15,peak_speed_ms,exit_speed_ms,distance_m,first_beta15_s,completed
FXRT_SPORT_GLIDE,1,reverseCoast,4.0314898,26.782931,20.61735,107.38851,,true
FXRT_SPORT_GLIDE,1,reverseBrake,120.01133,15.018449,0.0042575341,30.02522,0.425,true
FXRT_SPORT_GLIDE,0.25,holdCoast,13.791905,26.17803,21.87063,110.70299,,true
FXRT_SPORT_GLIDE,0.25,holdBrake25,62.38894,20.371699,12.284611,89.816587,0.46666667,true
FXRT_SPORT_GLIDE,0.25,holdBrake50,62.38894,20.371699,11.840186,89.60941,0.46666667,true
FXRT_SPORT_GLIDE,0.25,holdBrake100,62.38894,20.371699,11.840186,89.60941,0.46666667,true
FXRT_SPORT_GLIDE,0.25,releaseCoast,9.1639869,27.791187,23.808265,115.80997,,true
FXRT_SPORT_GLIDE,0.25,releaseBrake,9.696651,26.880149,0.45340769,64.977488,,true
FXRT_SPORT_GLIDE,0.25,delayedReleaseBrake,19.626739,23.132707,2.5662584,72.256658,0.46666667,true
FXRT_SPORT_GLIDE,0.25,counterPulseBrake,9.543248,27.382439,1.2419164,68.181407,,true
FXRT_SPORT_GLIDE,0.25,reverseCoast,51.285064,24.157512,19.009719,103.72126,0.66666667,true
FXRT_SPORT_GLIDE,0.25,reverseBrake,117.80344,16.479773,8.4438594,80.293036,0.675,true
PX200E_ARCOBALENO,1,holdCoast,2.8939384,26.981575,19.144754,102.32468,,true
PX200E_ARCOBALENO,1,holdBrake25,23.336349,22.558362,7.3954994,70.646783,0.5,true
PX200E_ARCOBALENO,1,holdBrake50,62.608867,17.933508,0.10370691,38.420277,0.35833333,true
PX200E_ARCOBALENO,1,holdBrake100,105.73188,15.140828,0.034994996,29.281513,0.34166667,true
PX200E_ARCOBALENO,1,releaseCoast,2.9393635,26.863788,22.095442,109.60364,,true
PX200E_ARCOBALENO,1,releaseBrake,2.9863565,26.657234,0.20382421,49.591889,,true
PX200E_ARCOBALENO,1,delayedReleaseBrake,62.006155,17.211471,0.091739848,38.422403,0.34166667,true
PX200E_ARCOBALENO,1,counterPulseBrake,54.517562,16.523943,0.085527336,40.694153,0.4,true
PX200E_ARCOBALENO,1,reverseCoast,4.4777031,26.135652,19.169903,102.48208,,true
PX200E_ARCOBALENO,1,reverseBrake,109.48842,15.11442,0.032490792,30.182118,0.4,true
PX200E_ARCOBALENO,0.25,holdCoast,14.076751,25.808818,20.29865,106.03367,,true
PX200E_ARCOBALENO,0.25,holdBrake25,61.144315,20.341255,11.326737,85.76908,0.38333333,true
PX200E_ARCOBALENO,0.25,holdBrake50,61.144315,20.341255,10.122618,84.975555,0.38333333,true
PX200E_ARCOBALENO,0.25,holdBrake100,61.144315,20.341255,10.054024,84.938454,0.38333333,true
PX200E_ARCOBALENO,0.25,releaseCoast,10.703701,27.203766,22.336667,110.94475,,true
PX200E_ARCOBALENO,0.25,releaseBrake,12.220175,23.224699,0.15230765,61.563667,,true
PX200E_ARCOBALENO,0.25,delayedReleaseBrake,30.86457,15.006918,3.3526993,69.467817,0.38333333,true
PX200E_ARCOBALENO,0.25,counterPulseBrake,13.783181,22.097121,0.54922412,64.982182,,true
PX200E_ARCOBALENO,0.25,reverseCoast,56.952648,23.113444,16.687579,96.995574,0.6,true
PX200E_ARCOBALENO,0.25,reverseBrake,134.22431,16.10098,7.486421,76.024887,0.61666667,true
